"","de","a","ligero","profundo","despierto","despertar","tparadormir","tparadespertar","sueñototal","ciudad"
"1",2018-11-01 22:08:00,2018-11-02,18720,15480,2220,2,0,420,34200,NA
"2",2018-11-03 01:18:00,2018-11-03,9240,16080,1680,1,360,840,25320,NA
"3",2018-11-03 22:15:00,2018-11-04,16680,19320,3120,5,0,0,36000,NA
"4",2018-11-04 22:58:00,2018-11-05,11280,14940,2220,3,300,240,26220,"Europe/Madrid"
"5",2018-11-05 22:35:00,2018-11-06,11460,17160,1500,2,360,0,28620,NA
"6",2018-11-06 23:37:00,2018-11-07,7800,14400,3480,4,120,720,22200,"Europe/Madrid"
"7",2018-11-07 22:14:00,2018-11-08,13920,15420,1560,2,300,540,29340,"Europe/Madrid"
"8",2018-11-09 22:16:00,2018-11-10,13020,19740,1860,3,600,0,32760,"Europe/Madrid"
"9",2018-11-11 22:52:00,2018-11-12,12420,14400,2640,4,360,120,26820,"Europe/Madrid"
"10",2018-11-17 00:46:00,2018-11-17,17760,9420,1140,3,180,0,27180,"Europe/Madrid"
"11",2018-11-18 00:41:00,2018-11-18,11700,13920,3000,2,1020,420,25620,"Europe/Madrid"
"12",2018-11-20 23:39:00,2018-11-21,12360,13500,1020,2,360,60,25860,"Europe/Madrid"
"13",2018-11-21 23:26:00,2018-11-22,11400,13320,1680,2,0,180,24720,"Europe/Madrid"
"14",2018-11-22 21:30:00,2018-11-23,12720,19560,1860,3,0,0,32280,NA
"15",2018-11-23 22:52:00,2018-11-24,11700,17820,1800,3,120,0,29520,"Europe/Madrid"
"16",2018-11-25 00:23:00,2018-11-25,15120,9180,1500,2,360,0,24300,NA
"17",2018-11-25 21:05:00,2018-11-26,19260,13500,2880,5,0,0,32760,"Europe/Madrid"
"18",2018-11-26 22:57:00,2018-11-27,14820,12180,900,1,300,120,27000,"Europe/Madrid"
"19",2018-11-27 23:35:00,2018-11-28,11520,12600,1320,4,120,0,24120,"Europe/Madrid"
"20",2018-11-28 23:01:00,2018-11-29,16140,11520,840,0,420,420,27660,NA
"21",2018-12-02 23:49:00,2018-12-03,12360,11880,2220,3,360,480,24240,"Europe/Madrid"
"22",2018-12-05 22:01:00,2018-12-06,16620,15300,2460,3,120,0,31920,"Europe/Madrid"
"23",2018-12-06 21:07:00,2018-12-07,18720,13800,1560,3,360,60,32520,"Europe/Madrid"
"24",2018-12-07 21:20:00,2018-12-08,10260,23280,3960,5,420,180,33540,NA
"25",2018-12-08 21:20:00,2018-12-09,16080,19740,2940,4,360,360,35820,NA
"26",2019-02-18 22:20:00,2019-02-19,12180,15420,1320,1,300,600,27600,"Europe/Rome"
"27",2019-02-19 23:16:00,2019-02-20,4920,12060,900,1,180,180,16980,NA
"28",2019-02-20 22:09:00,2019-02-21,17400,11040,3540,4,180,120,28440,"Europe/Rome"
"29",2019-02-21 23:31:00,2019-02-22,8400,13380,2100,1,300,1140,21780,"Europe/Rome"
"30",2019-02-22 22:27:00,2019-02-23,13680,10380,1380,2,420,0,24060,"Europe/Rome"
"31",2019-02-23 15:23:00,2019-02-23,1800,3420,1080,1,180,300,5220,"Europe/Rome"
"32",2019-02-23 22:40:00,2019-02-24,12660,12180,1860,2,240,180,24840,"Europe/Madrid"
"33",2019-02-25 22:31:00,2019-02-26,8820,18540,1920,2,360,420,27360,"Europe/Madrid"
"34",2019-02-26 22:33:00,2019-02-27,10680,14580,3180,3,180,120,25260,"Europe/Madrid"
"35",2019-02-27 21:43:00,2019-02-28,15180,12900,2760,3,300,780,28080,"Europe/Madrid"
"36",2019-02-28 22:34:00,2019-03-01,13800,12420,1740,2,300,660,26220,"Europe/Madrid"
"37",2019-03-01 21:39:00,2019-03-02,15120,15780,2520,4,0,240,30900,"Europe/Madrid"
"38",2019-03-02 21:41:00,2019-03-03,15120,16080,4080,6,0,0,31200,NA
"39",2019-03-03 22:15:00,2019-03-04,15480,12960,1860,2,780,300,28440,"Europe/Madrid"
"40",2019-03-04 23:34:00,2019-03-05,11339,12001,180,0,180,0,23340,NA
"41",2019-03-05 22:30:00,2019-03-06,16980,10260,1800,2,0,420,27240,"Europe/Madrid"
"42",2019-03-06 23:22:00,2019-03-07,10440,11880,4620,5,1200,0,22320,NA
"43",2019-03-08 00:55:00,2019-03-08,11700,7560,2160,2,420,0,19260,"Europe/Madrid"
"44",2019-03-08 23:58:00,2019-03-09,17640,12840,1740,3,360,420,30480,"Europe/Madrid"
"45",2019-03-10 22:14:00,2019-03-11,12420,15840,1860,3,360,120,28260,"Europe/Madrid"
"46",2019-03-12 22:40:00,2019-03-13,9060,12000,1860,3,180,0,21060,"Europe/Madrid"
"47",2019-03-13 22:33:00,2019-03-14,13260,14700,240,0,180,60,27960,"Europe/Madrid"
"48",2019-03-14 21:23:00,2019-03-15,17520,13020,2280,3,0,180,30540,NA
"49",2019-03-15 21:28:00,2019-03-16,16860,14220,2280,4,360,0,31080,"Europe/Madrid"
"50",2019-03-16 22:41:00,2019-03-17,13860,15540,1380,2,300,120,29400,"Europe/Madrid"
"51",2019-03-17 21:43:00,2019-03-18,13920,16980,1380,1,600,180,30900,"Europe/Madrid"
"52",2019-03-18 23:04:00,2019-03-19,8220,17400,300,0,0,300,25620,"Europe/Madrid"
"53",2019-03-19 22:48:00,2019-03-20,10980,15540,600,1,240,180,26520,"Europe/Amsterdam"
"54",2019-03-20 23:19:00,2019-03-21,9480,15480,540,1,0,120,24960,"Europe/Amsterdam"
"55",2019-03-21 22:57:00,2019-03-22,9960,13620,1380,1,240,120,23580,"Europe/Amsterdam"
"56",2019-03-23 00:07:00,2019-03-23,12900,10860,1140,1,240,360,23760,"Europe/Amsterdam"
"57",2019-03-23 20:59:00,2019-03-24,14340,18780,1560,2,780,60,33120,NA
"58",2019-03-24 22:41:00,2019-03-25,13320,13320,480,1,0,0,26640,"Europe/Madrid"
"59",2019-03-25 21:47:00,2019-03-26,11520,18600,1020,3,0,180,30120,"Europe/Madrid"
"60",2019-03-26 22:04:00,2019-03-27,8640,20220,840,2,0,120,28860,"Europe/Madrid"
"61",2019-03-27 22:05:00,2019-03-28,12780,14640,2460,3,360,240,27420,"Europe/Madrid"
"62",2019-03-28 23:21:00,2019-03-29,10621,15359,1380,3,0,0,25980,"Europe/Madrid"
"63",2019-03-29 22:05:00,2019-03-30,14100,17940,2580,3,540,60,32040,"Europe/Madrid"
"64",2019-03-30 22:11:00,2019-03-31,12840,15840,1680,2,0,0,28680,"Europe/Madrid"
"65",2019-03-31 21:03:00,2019-04-01,15000,15600,1500,1,360,360,30600,"Europe/Madrid"
"66",2019-04-01 21:46:00,2019-04-02,11460,13320,2460,3,360,0,24780,"Europe/Madrid"
"67",2019-04-02 21:27:00,2019-04-03,12900,13740,4440,6,0,120,26640,"Europe/Madrid"
"68",2019-04-03 22:46:00,2019-04-04,7380,14760,1860,2,360,120,22140,NA
"69",2019-04-05 21:57:00,2019-04-06,10680,13800,780,0,540,240,24480,"Europe/Amsterdam"
"70",2019-04-09 21:51:00,2019-04-10,13080,12720,2160,2,0,0,25800,"Europe/Madrid"
"71",2019-04-10 21:14:00,2019-04-11,16140,12360,1320,3,0,120,28500,"Europe/Madrid"
"72",2019-04-11 22:07:00,2019-04-12,12900,15060,1920,2,420,0,27960,"Europe/Madrid"
"73",2019-04-12 21:58:00,2019-04-13,7980,17640,1200,1,540,480,25620,"Europe/Madrid"
"74",2019-04-13 21:41:00,2019-04-14,14160,18900,960,1,360,120,33060,"Europe/Madrid"
"75",2019-04-14 20:54:00,2019-04-15,14760,15240,1260,1,0,720,30000,NA
"76",2019-04-15 20:44:00,2019-04-16,13020,13920,1200,1,360,240,26940,NA
"77",2019-04-16 20:51:00,2019-04-17,10800,20100,960,1,360,420,30900,NA
"78",2019-04-17 22:58:00,2019-04-18,9120,12600,780,1,0,180,21720,"Europe/Amsterdam"
"79",2019-04-18 20:32:00,2019-04-19,15599,20701,1800,2,540,540,36300,"Europe/Amsterdam"
"80",2019-04-19 22:39:00,2019-04-20,8460,18840,1380,1,360,420,27300,"Europe/Amsterdam"
"81",2019-04-20 22:18:00,2019-04-21,11220,15420,240,0,240,0,26640,NA
"82",2019-04-21 21:58:00,2019-04-22,7800,15540,960,0,240,720,23340,"Europe/Madrid"
"83",2019-04-22 20:21:00,2019-04-23,15180,16500,2340,3,480,180,31680,"Europe/Madrid"
